,Norad_ID,Name,Label,dbscan_labels,Semi-major axis(m),Inclination,Raan
1849,22653.0,0 ASTRA 1C,0.0,-1.0,42571317.77924519,10.219803654234276,38.03801360102579
234,4881.0,0 INTELSAT 4-F2,0.0,-1.0,42572411.25610516,9.259703310936919,300.5625074703442
2583,27844.0,0 CUTE-1,0.001,0.0,7195764.036930088,98.68223528521864,53.00881895404742
6183,47283.0,0 ONEWEB-0137,0.001,-1.0,7195189.480428756,87.39163124810464,20.95500749275712
2586,27847.0,0 CANX-1,0.001,0.0,7195932.5263168,98.68633528668468,51.31511834844099
6644,47548.0,0 TBA - TO BE ASSIGNED,0.001,-1.0,7194332.8129479475,99.5769356051313,86.62733097481838
6528,47548.0,0 TBA - TO BE ASSIGNED,0.001,-1.0,7194807.0594379725,81.18452902866811,325.4659163749077
2585,27846.0,0 AAU CUBESAT,0.001,0.0,7195704.86071681,98.68523528629132,51.360518364674405
2584,27845.0,0 QUAKESAT,0.001,0.0,7195605.982323426,98.67833528382414,54.2894194119441
2056,23827.0,0 IRS B3,0.001,1.0,7194569.466219564,98.87983535587331,358.9505283478009
6926,47548.0,0 TBA - TO BE ASSIGNED,0.001,-1.0,7195116.170031025,98.66953528067758,340.209021646512
2037,23751.0,0 IRS 1C,0.001,1.0,7194551.354793727,98.85303534629057,359.35232849147013
6581,47548.0,0 TBA - TO BE ASSIGNED,0.001,-1.0,7196036.273301799,97.98833503710486,333.26211916254937
2581,27842.0,0 DTUSAT,0.001,0.0,7195711.805300315,98.68523528629132,51.55881843557938
2991,35865.0,0 METEOR-M,0.001,2.0,7195842.966299668,98.46563520777023,26.55950949672549
2995,35869.0,0 UGATUSAT,0.001,2.0,7195216.184896414,98.46373520709088,25.63590916647923
1105,,0 SL-12 R/B(AUX MOTOR),0.001,-1.0,7196125.0095062535,66.55392379728981,20.267507246931753
762,11896.0,0 MOLNIYA 3-13,0.002,-1.0,26557598.86819015,62.60062238373139,198.3855709355461
3603,40730.0,0 NAVSTAR 74 (USA 262),0.002,-1.0,26559080.0222332,55.475719836122465,346.3843238545781
357,,0 COSMOS 606,0.002,-1.0,26558774.771091346,71.664625624693,155.11405546320822
3097,37212.0,0 MERIDIAN 3,0.002,-1.0,26557353.05896876,63.55402272463307,275.54979852669896
1826,22321.0,0 COSMOS 2232,0.002,-1.0,26558736.725655705,67.55052415363826,303.1476083946833
3512,40105.0,0 NAVSTAR 71 (USA 256),0.002,-1.0,26559290.82542333,54.61261952750883,166.39985949860588
4789,44453.0,0 MERIDIAN 8,0.002,-1.0,26557618.90387828,62.65552240336167,270.4054966872816
2769,29601.0,0 NAVSTAR 59 (USA 192),0.002,-1.0,26559129.80954403,55.861119973927686,291.4448042101814
3264,38995.0,0 MERIDIAN 6,0.002,-1.0,26557894.90594774,65.31522335437509,209.2347748148312
1928,23194.0,0 COSMOS 2286,0.002,-1.0,26558313.38007104,67.01422396187661,277.09989908095923
2310,25847.0,0 MOLNIYA 3-50,0.002,-1.0,26557556.766889304,62.57532237468503,53.5368191428413
2702,28874.0,0 NAVSTAR 57 (USA 183),0.002,-1.0,26558993.071549576,56.315320136333334,350.76772542192475
2839,32260.0,0 NAVSTAR 60 (USA 196),0.002,-1.0,26559278.99632284,53.215319027884426,160.89605753064419
3576,40483.0,0 MMS 2,0.003,0.0,97417354.86952388,32.41411159012066,118.76104246467804
3577,40485.0,0 MMS 4,0.003,0.0,97416745.29303367,32.4177115914079,118.70494244461872
7006,47548.0,0 TBA - TO BE ASSIGNED,0.004,-1.0,8260457.719213213,102.431936625977,308.3727102629918
2075,24285.0,0 FAST,0.004,-1.0,8263588.2767969975,82.96082966380936,15.16900542389085
1,,0 VANGUARD 3,0.004,-1.0,8263180.325179747,33.3449119229414,47.0561168255752
1804,22197.0,0 LAGEOS 2 AKM (MAGE 1S),0.005,-1.0,12160566.670049312,52.662218830115684,57.13822043057289
1803,22195.0,0 LAGEOS 2,0.005,-1.0,12161885.203405058,52.66461883097384,59.636121323732425
2159,,0 SL-12 R/B(AUX MOTOR),0.005,-1.0,12162223.20095225,46.68981669459946,331.6848185985636
395,,0 OPS 7518 (NTS 1),0.006,0.0,19988191.61881332,125.15544475108636,35.61951273625685
482,8599.0,0 NTS 1 AKM,0.006,0.0,19989667.98071525,125.15634475140816,35.15411256984648
2957,33749.0,0 NSS 9,0.006999999999999999,0.0,42164735.60556656,0.05870002098901661,289.4137034839328
2697,28786.0,0 IPSTAR 1,0.006999999999999999,1.0,42164841.01236792,0.01570000561375742,88.13493151388211
2973,35496.0,0 TERRESTAR 1,0.006999999999999999,-1.0,42164663.55927549,2.6696009545533004,25.61030915732559
3692,41191.0,0 EXPRESS AMU1,0.006999999999999999,1.0,42164823.07073818,0.013300004755603424,92.98403324774652
3589,40613.0,0 THOR 7,0.006999999999999999,-1.0,42164777.93641029,0.014500005184680425,177.89306360816238
2694,28707.0,0 EXPRESS AM-3,0.006999999999999999,-1.0,42164799.52237813,2.3800008510027166,88.38393160291555
4594,43920.0,0 CHINASAT 2D,0.006999999999999999,2.0,42164679.53838743,0.062100022204734776,279.96980010713247
3606,40746.0,0 WGS 7 (USA 263),0.006999999999999999,1.0,42164798.12069107,0.016300005828295917,98.28343514262205
3594,40664.0,0 SKY MEXICO-1,0.006999999999999999,3.0,42164821.10837359,0.009300003325346754,82.14012937035646
4621,44034.0,0 SAUDIGEOSAT1/HELLASSAT4,0.006999999999999999,4.0,42164657.67223809,0.06840002445738902,121.8623435735918
2971,35491.0,0 GOES 14,0.006999999999999999,5.0,42164863.71977041,0.06530002334894011,194.89616968786166
2691,28659.0,0 DIRECTV 8,0.006999999999999999,6.0,42164836.80729673,0.013800004934385506,111.00793969244732
3572,40384.0,0 INMARSAT 5-F2,0.006999999999999999,1.0,42164792.79428129,0.014200005077411171,92.61573311605564
2986,35696.0,0 ASIASAT 5,0.006999999999999999,-1.0,42164768.12461585,0.027600009868771008,246.81248825127025
3566,40374.0,0 MUOS 3,0.006999999999999999,-1.0,42164856.43097122,2.642500944863312,354.3593267061522
4103,42915.0,0 TDRS 13,0.006999999999999999,7.0,42164661.87726461,5.205001861121488,330.62991822136905
2528,27513.0,0 INTELSAT 906,0.006999999999999999,1.0,42164730.83984909,0.8590003071476195,96.36523445674247
3693,41194.0,0 GAOFEN 4,0.006999999999999999,8.0,42164830.35952297,0.0706000252440302,266.3269952289562
3549,40333.0,0 DIRECTV 14,0.006999999999999999,9.0,42164957.07274629,0.02090000747309109,131.578447047721
4113,42950.0,0 INTELSAT 37E,0.006999999999999999,1.0,42164953.42832612,0.016200005792539506,103.31143694045471
4114,42951.0,0 BSAT-4A,0.006999999999999999,10.0,42164678.41704575,0.04440001587584902,16.252805811418895
2519,27460.0,0 EUTE 5 WEST A (STELLAT5),0.006999999999999999,1.0,42164959.03512672,1.1286004035469188,94.65383384480715
2517,27445.0,0 GALAXY 3C,0.006999999999999999,-1.0,42164771.48865902,0.005400001930846502,62.24962225822637
3536,40277.0,0 EXPRESS AM-6,0.006999999999999999,2.0,42164694.39617174,0.06120002188292701,279.36159988966205
2514,27438.0,0 INTELSAT 905,0.006999999999999999,1.0,42164629.91908936,1.852300662316107,91.85233284309112
3534,40272.0,0 ARSAT 1,0.006999999999999999,2.0,42164748.22070755,0.06320002259805536,277.0591990664064
4970,44910.0,0 SJ-20,0.006999999999999999,1.0,42164726.634805374,0.6758002416418641,95.19903403975115
2955,33595.0,0 EXPRESS AM-44,0.006999999999999999,11.0,42164847.17980754,0.02640000943969401,250.1144894319471
