,Unnamed: 0,Name,Label,dbscan_labels,Semi-major axis(m),Inclination,Raan
22,22,0 YAOGAN 22,0.0,0.0,7580376.35970046,100.51433594031195,161.22195764717438
28,28,0 YAOGAN 27,0.0,1.0,7578297.211791874,100.19843582735744,89.39453196426994
17,17,0 YAOGAN 19,0.0,1.0,7580999.472661635,100.137035805403,88.44613162515608
52,52,0 YAOGAN-30 W,0.1,0.0,6976473.239198523,35.00061251496038,310.68851109103895
32,32,0 YAOGAN-30 A,0.1,1.0,6976472.390087166,35.00051251492463,250.4705895592757
33,33,0 YAOGAN-30 B,0.1,1.0,6976491.919713696,35.001012515103405,252.641390335476
34,34,0 YAOGAN-30 C,0.1,1.0,6976479.323463545,35.00041251488887,251.20028982019025
35,35,0 YAOGAN-30 D,0.1,2.0,6976500.161157205,34.99661251353013,130.9562468252446
36,36,0 YAOGAN-30 E,0.1,2.0,6976472.202783226,34.99641251345861,130.72244674164605
37,37,0 YAOGAN-30 F,0.1,2.0,6976493.624192063,34.997512513851945,130.63294670964407
38,38,0 YAOGAN-30 G,0.1,3.0,6976556.993440686,35.00241251560401,10.970603922693453
51,51,0 YAOGAN-30 V,0.1,0.0,6976496.936377358,34.99911251442404,312.8597118673823
39,39,0 YAOGAN-30 H,0.1,3.0,6976401.271684786,35.000312514853114,11.058603954159098
41,41,0 YAOGAN-30 K,0.1,3.0,6976479.935324692,35.00131251521068,11.717004189579345
42,42,0 YAOGAN-30 L,0.1,3.0,6976473.429624266,35.00041251488887,11.216304010546969
43,43,0 YAOGAN-30 M,0.1,3.0,6976512.47966322,35.00141251524644,11.695104181748693
44,44,0 YAOGAN-30 N,0.1,4.0,6976485.279750212,34.99541251310105,190.39956808003865
45,45,0 YAOGAN-30 P,0.1,4.0,6976514.427652933,34.994512512779245,190.19856800816825
46,46,0 YAOGAN-30 Q,0.1,4.0,6976474.447309609,34.99541251310105,189.67036781930284
47,47,0 YAOGAN-30 R,0.1,5.0,6976463.04363587,34.999012514388276,71.46862555461044
48,48,0 YAOGAN-30 S,0.1,5.0,6976483.50347681,34.99841251417374,70.86442533857016
49,49,0 YAOGAN-30 T,0.1,6.0,6976429.831833231,35.000312514853114,68.85212461904378
50,50,0 YAOGAN-30 U,0.1,0.0,6976516.1977024535,34.99891251435253,311.4304113563158
40,40,0 YAOGAN-30 J,0.1,3.0,6976507.350587837,35.00001251474585,11.27770403250141
25,25,0 YAOGAN 25B,0.2,0.0,7468116.144011772,63.402722670533606,289.6346035629188
26,26,0 YAOGAN 25C,0.2,0.0,7468113.6716619525,63.40132267003303,290.2102037687327
12,12,0 YAOGAN 16B,0.2,1.0,7468104.378161694,63.37282265984246,280.05840013881283
4,4,0 YAOGAN 9A,0.2,2.0,7468124.327208183,63.38972266588528,354.03912659166014
11,11,0 YAOGAN 16A,0.2,1.0,7468090.617468491,63.37052265902004,279.952800101054
24,24,0 YAOGAN 25A,0.2,0.0,7468113.079482658,63.40212267031907,289.55290353370566
13,13,0 YAOGAN 16C,0.2,1.0,7468084.0628410615,63.37252265973518,279.4048999051446
14,14,0 YAOGAN 17A,0.2,3.0,7468093.208234289,63.40362267085542,73.82412639685283
15,15,0 YAOGAN 17B,0.2,3.0,7468089.533048619,63.40452267117722,73.99402645760298
5,5,0 YAOGAN 9B,0.2,2.0,7468079.336560188,63.390622666207065,354.36652670872667
16,16,0 YAOGAN 17C,0.2,3.0,7468089.766217362,63.40372267089118,73.06212612438894
19,19,0 YAOGAN 20B,0.2,4.0,7468118.109309271,63.395022667780374,2.3894008543638208
20,20,0 YAOGAN 20C,0.2,4.0,7468121.003591559,63.394222667494326,2.2831008163547497
18,18,0 YAOGAN 20A,0.2,4.0,7468119.808126796,63.39532266788764,1.5307005473234705
6,6,0 YAOGAN 9C,0.2,2.0,7468081.19820321,63.389322665742256,353.49562639732414
29,29,0 YAOGAN 28,0.3,0.0,6873409.836734225,97.48223485614164,180.12396440585223
21,21,0 YAOGAN 21,0.3,1.0,6873322.9181729015,97.41163483089764,113.66114064113657
10,10,0 YAOGAN 14,0.3,0.0,6873289.756363545,97.47263485270905,180.05486438114457
9,9,0 YAOGAN 12,0.3,2.0,6873145.345046889,97.36703481495026,120.81564319932936
27,27,0 YAOGAN 26,0.3,3.0,6872916.639892328,97.21913476206652,108.81843890956057
3,3,0 YAOGAN 7,0.4,0.0,7021837.32556118,98.24703512960673,250.10578942883632
2,2,0 YAOGAN 4,0.4,1.0,7016731.779961392,97.76073495572328,355.2070270092593
23,23,0 YAOGAN 24,0.4,2.0,7019197.381450314,97.9210350130408,166.55795955513676
8,8,0 YAOGAN 11,0.4,3.0,7019194.319476261,98.29163514555408,161.74935783575376
31,31,0 YAOGAN 30,0.4,4.0,7019101.15591606,97.82763497964432,94.80163389765514
0,0,0 YAOGAN 2,0.4,5.0,7016870.55976806,98.1784351050778,181.45916488327202
30,30,0 YAOGAN 29,0.5,0.0,7005927.759925508,98.03003505201531,37.210813305248706
1,1,0 YAOGAN 3,0.5,1.0,7004099.469383247,97.98153503467344,63.26792262233396
7,7,0 YAOGAN 10,0.5,2.0,7004236.017435249,97.98033503424436,51.32591835230267
53,53,0 YAOGAN 6,,,6862088.855312318,97.04353469927824,44.25911582546821
54,54,0 YAOGAN 8,,,7620844.622461602,100.21273583247059,356.5432274870366
55,55,0 YAOGAN 13,,,6887889.200233165,97.5782348904678,345.08272338917243
56,56,0 YAOGAN 15,,,7569501.123166205,100.60633597320783,189.85536788545213
57,57,0 YAOGAN 18,,,6673402.527100752,97.21583476088655,111.23653977418648
58,58,0 YAOGAN 23,,,6888136.830409387,97.55053488056328,348.08552446286615
