,Name,Label,Semi-major axis(m),Inclination,Raan
0,0 TRANSIT 2A,0.2,7157506.984615055,66.69442384752759,108.49583879421036
1,0 SOLRAD 1 (GREB),0.3,7105860.6062541725,66.69032384606156,120.21354298403999
2,0 EXPLORER 11,0.17,7240505.082136247,28.786210292913623,268.5825960354779
3,0 MIDAS 4,0.44,10003104.088948047,95.83823426830617,173.20176193072155
4,0 TIROS 4,0.13,7117871.487794703,48.29491726852569,190.13636798592773
5,0 TIROS 5,0.06,7081374.067058335,58.09022077097398,167.39485985438225
6,0 ANNA 1B,0.37,7505064.87696825,50.140017928267355,207.7206742734433
7,0 MIDAS 6 (FTV 1169),0.01,10022279.47225772,87.34923123294395,21.827607804767613
8,0 DASH 1,0.01,10019481.373091584,87.34363123094158,17.306006188005473
9,0 ERS 6,0.01,10022100.606947964,87.34603123179974,19.661607030283626
10,0 WESTFORD NEEDLES,0.01,10019901.34894074,87.34503123144216,17.934806412841823
11,0 SYNCOM 2 (A 26),0.24,42164541.33358683,33.81741209189046,327.5276171120977
12,0 TRANSIT 5B-1,0.27,7471281.5410785135,90.04223219586424,332.83771901079916
13,0 RADIATION SAT (5E 1),0.27,7469360.4656361025,90.04293219611453,332.7689189861988
14,0 WESTFORD NEEDLES,0.01,10018602.601258446,87.33943122943981,16.61010593917657
15,0 GGSE 1 (GGRS),0.23,7281710.02036603,69.90702499623822,82.91972964911345
16,0 SECOR 1B,0.08,7289595.168578767,69.90132499420011,156.4285559332263
17,0 SOLRAD 7A,0.43,7287066.292200451,69.90682499616672,146.07565223140026
18,0 GREB,0.43,7286287.488981242,69.90652499605943,136.67224886908136
19,0 OPS 3367 A,0.12,7173573.142420216,99.12913544501407,237.384984880334
20,0 OPS 3367 B,0.12,7177082.687993152,99.14083544919755,230.80168252638188
21,0 OPS 4412 (TRANSIT 9),0.09,7221495.944403457,90.51813236602905,80.7302288662267
22,0 OPS 4467 A,0.31,7190413.776255879,99.7800356777526,309.3502106125108
23,0 OPS 4467 B,0.31,7193127.917989596,99.79033568143551,307.97961012243337
24,0 OPS 5798 (TRANSIT 5B-4),0.04,7437702.879112946,90.16753224066704,34.94911249654584
25,0 CALSPHERE 1,0.38,7365232.687496033,90.15813223730595,32.31971155636661
26,0 CALSPHERE 2,0.04,7440508.647707831,90.16833224095308,35.08151254388732
27,0 EXPLORER 25 (INJUN-4),0.26,7784384.473811799,81.33812908358998,75.5473270130074
28,0 SECOR 3,0.43,7287175.012234695,70.08092505841864,17.60450629473838
29,0 GGSE 2,0.43,7286981.931060597,70.08042505823985,20.01070715510928
30,0 OPS 4988 (GREB 6),0.43,7285298.758733719,70.08172505870468,355.5071271165644
31,0 PORCUPINE 1,0.08,7291988.294039755,70.07922505781077,72.48922591954043
32,0 SOLRAD 7B,0.08,7290672.823554902,70.078725057632,62.704922421025344
33,0 OSCAR 3,0.36,7249668.62125088,70.07572505655929,314.4810124471012
34,0 OPS 8480 (TRANSIT 5B-6),0.32,7445275.877133203,89.9260321543153,306.31260952637393
35,0 TIROS 10,0.29,7135645.155009756,98.31803515499377,167.5714599175281
36,0 DODECAPOLE 2,0.08,7288777.739477874,90.03393219289646,15.352005489325093
37,0 OPS 8464 (TRANSIT 5B-7),0.37,7506188.958104239,89.8652321325754,240.87478612816142
38,0 CALSPHERE 4(A),0.37,7502973.424017202,90.02383218928507,129.8004464119719
39,0 COSMOS 80,0.45,7831088.937490513,56.058620044546615,3.6836013171233657
40,0 COSMOS 81,0.42,7847509.086571332,56.061020045404774,55.61441988571662
41,0 COSMOS 82,0.34,7863226.262401243,56.059420044832656,74.58452666874462
42,0 COSMOS 83,0.4,7880436.6291276375,56.05422004297333,123.01124398439724
43,0 PORCUPINE 2,0.37,7503080.824615722,89.92373215349289,216.32007734828065
44,0 OPS 8068,0.12,7177896.847771808,98.37023517365864,254.68019106447784
45,0 COSMOS 86,0.1,7834789.023136095,56.060220045118726,27.53190984442089
46,0 COSMOS 87,0.0,7853407.963359201,56.06202004576233,126.79014533559649
47,0 COSMOS 89,0.11,7889156.090882579,56.05622004368846,264.8402946973655
