,Name,Label,Semi-major axis(m),Inclination,Raan
0,0 TRANSIT 2A,0.42,7157506.984615055,66.69442384752759,108.49583879421036
1,0 SOLRAD 1 (GREB),0.03,7105860.6062541725,66.69032384606156,120.21354298403999
2,0 EXPLORER 11,0.55,7240505.082136247,28.786210292913623,268.5825960354779
3,0 MIDAS 4,0.23,10003104.088948047,95.83823426830617,173.20176193072155
4,0 TIROS 4,0.2,7117871.487794703,48.29491726852569,190.13636798592773
5,0 MIDAS 6 (FTV 1169),0.22,10022279.47225772,87.34923123294395,21.827607804767613
6,0 DASH 1,0.47,10019481.373091584,87.34363123094158,17.306006188005473
7,0 WESTFORD NEEDLES,0.46,10007189.797499938,87.35663123558994,16.233205804410638
8,0 ERS 6,0.22,10022100.606947964,87.34603123179974,19.661607030283626
9,0 WESTFORD NEEDLES,0.47,10019901.34894074,87.34503123144216,17.934806412841823
10,0 SYNCOM 2 (A 26),0.17,42164541.33358683,33.81741209189046,327.5276171120977
11,0 WESTFORD NEEDLES,0.47,10018602.601258446,87.33943122943981,16.61010593917657
12,0 TRANSIT 5B-2,0.27,7461972.934481166,89.9001321450544,88.1487315188165
13,0 TRANSIT 5E 3,0.27,7460145.044394466,89.90043214516164,88.08383149561057
14,0 GGSE 1 (GGRS),0.29,7281710.02036603,69.90702499623822,82.91972964911345
15,0 SECOR 1B,0.45,7289595.168578767,69.90132499420011,156.4285559332263
16,0 SOLRAD 7A,0.02,7287066.292200451,69.90682499616672,146.07565223140026
17,0 GREB,0.02,7286287.488981242,69.90652499605943,136.67224886908136
18,0 OPS 3367 B,0.53,7177082.687993152,99.14083544919755,230.80168252638188
19,0 OPS 4412 (TRANSIT 9),0.18,7221495.944403457,90.51813236602905,80.7302288662267
20,0 OPS 4467 A,0.06,7190413.776255879,99.7800356777526,309.3502106125108
21,0 OPS 4467 B,0.06,7193127.917989596,99.79033568143551,307.97961012243337
22,0 CALSPHERE 1,0.5,7365232.687496033,90.15813223730595,32.31971155636661
23,0 EXPLORER 25 (INJUN-4),0.57,7784384.473811799,81.33812908358998,75.5473270130074
24,0 SECOR 3,0.02,7287175.012234695,70.08092505841864,17.60450629473838
25,0 GGSE 2,0.02,7286981.931060597,70.08042505823985,20.01070715510928
26,0 PORCUPINE 1,0.45,7291988.294039755,70.07922505781077,72.48922591954043
27,0 SOLRAD 7B,0.45,7290672.823554902,70.078725057632,62.704922421025344
28,0 TIROS 10,0.15,7135645.155009756,98.31803515499377,167.5714599175281
29,0 DODECAPOLE 2,0.02,7288777.739477874,90.03393219289646,15.352005489325093
30,0 COSMOS 80,0.12,7831088.937490513,56.058620044546615,3.6836013171233657
31,0 COSMOS 81,0.0,7847509.086571332,56.061020045404774,55.61441988571662
32,0 OPS 8068,0.53,7177896.847771808,98.37023517365864,254.68019106447784
33,0 COSMOS 86,0.3,7834789.023136095,56.060220045118726,27.53190984442089
34,0 COSMOS 87,0.32,7853407.963359201,56.06202004576233,126.79014533559649
35,0 COSMOS 88,0.35,7870712.237090535,56.05852004451086,184.6423660214702
36,0 COSMOS 89,0.31,7889156.090882579,56.05622004368846,264.8402946973655
37,0 OV2-1,0.38,7093156.29610003,32.29791154857171,63.9761228755609
38,0 EXPLORER 30,0.15,7135827.256948813,59.708521349620064,32.263411536235736
39,0 A-1 (ASTERIX),0.27,7461505.992212715,34.25531224846781,292.4492045693188
40,0 OPS 1509 (TRANSIT 10),0.13,7348228.039111775,89.06253184555864,67.40022409989635
41,0 DIAPASON (D1-A),0.4,7801338.596059881,34.094312190899984,278.12229944653285
42,0 ESSA 2 (OT-2),0.16,7762584.345069834,101.22143619314558,333.5099192511538
43,0 OPS 1117 (TRANSIT 12),0.05,7361271.684817603,89.70593207561541,160.48875738500834
44,0 OAO 1,0.42,7156876.668158021,35.044212530550176,185.932366482728
45,0 OPS 9313 (IDSCS 3),0.07,40189372.25635853,5.028101797868389,57.71852063806737
46,0 WESTFORD NEEDLES,0.23,10000669.251164194,87.30313121646023,214.36427664895663
47,0 WESTFORD NEEDLES,0.1,10012690.19585583,87.34823123258639,7.32150261790605
48,0 WESTFORD NEEDLES,0.1,10010379.100770297,87.56693131078566,94.54693380658354
49,0 WESTFORD NEEDLES,0.39,9995759.7255416,87.10503114562677,292.06190443083426
50,0 WESTFORD NEEDLES,0.1,10010399.834134132,87.31133121939226,344.9748233505913
51,0 WESTFORD NEEDLES,0.23,9999160.861968387,87.19163117659184,272.2035973302177
52,0 WESTFORD NEEDLES,0.39,9994515.187686307,87.07393113450651,293.7751050434132
53,0 ERS 15,0.01,10070436.805686733,90.26063227395626,255.76299145164833
54,0 WESTFORD NEEDLES,0.39,9994126.55942847,87.44933126873613,12.673904531732495
55,0 ESSA 3 (TOS-A),0.59,7814133.898005714,100.91663608416002,46.64671667918845
56,0 OPS 1920,0.01,10069033.499007253,89.72183208130068,46.37101658060799
57,0 SECOR 8 (EGRS 8),0.01,10071785.627834607,89.7213320811219,46.46971661589958
58,0 WESTFORD NEEDLES,0.46,10006386.56936622,87.27973120809324,352.1598259196898
59,0 WESTFORD NEEDLES,0.46,10006813.758701293,87.26083120133526,326.91751689394783
60,0 OPS 9326 (IDSCS 13),0.07,40190837.85132168,4.479801601815955,58.591620950256655
61,0 ESSA 4 (TOS-B),0.16,7760696.950486957,101.933536447767,133.02134756365032
62,0 OPS 6073 (DMSP 4A F2),0.24,7179699.24679571,98.92973537371576,320.5718146249529
63,0 DIADEME 1,0.11,7086882.78679547,39.92491427571362,317.830213644655
64,0 ESSA 5,0.44,7766180.263460248,101.7835363941324,143.59095134296058
65,0 WESTFORD NEEDLES,0.23,10000352.090056157,87.21253118406494,280.47950028938305
66,0 COSMOS 158,0.43,7147875.986262263,74.03922647376488,50.35801800621632
67,0 OPS 5712 (P/L 160),0.03,7105848.990050328,69.92952500428343,358.42532816000806
68,0 GGSE 4,0.29,7280711.89428633,69.97112501915811,291.0386040649388
69,0 GGSE 5,0.02,7286404.577389019,69.9750250205526,349.7531250591401
70,0 OPS 5712 (P/L 152),0.29,7279337.43290211,69.97352502001625,280.3495002428997
71,0 OPS 7202 (DMSP 4A F3),0.18,7221288.696625328,98.85503534700571,272.3942973984053
72,0 ATS 3,0.17,42164731.40052166,1.793100641148308,285.36120203490407
73,0 ESSA 6 (TOS-D),0.48,7825026.120511694,102.18343653712229,88.39953160849359
74,0 COSMOS 192,0.11,7085341.600865065,74.01252646421791,123.74014424502579
75,0 COSMOS 203,0.41,7569630.141650815,74.05272647859199,145.56945205040125
76,0 COSMOS 209,0.29,7279768.525381759,65.3301233597028,260.60299318225884
77,0 WESTFORD NEEDLES,0.1,10010191.804753674,87.32903122572115,356.36102742188837
78,0 WESTFORD NEEDLES,0.22,10022389.75746244,87.28313120930895,334.96301977073034
79,0 OPS 9343 (IDSCS 22),0.07,40188523.64495967,3.3033011811417126,61.75492208133938
80,0 ESSA 7 (TOS-E),0.12,7830203.122977887,101.36943624606508,55.60921988385728
81,0 OPS 4078 (DMSP 4B F2),0.24,7179190.815393234,98.31103515249085,204.6704731828011
82,0 OAO 2,0.2,7117298.186030407,34.99311251227865,150.3259537511552
83,0 ESSA 8 (TOS-F),0.37,7816768.238986926,101.41833626354996,7.089002534772381
84,0 OPS 2644,0.19,7787029.045399332,80.39652874690756,342.090922319412
85,0 ESSA 9 (TOS-G),0.36,7843313.244773025,101.58603632351348,95.6949342170672
86,0 COSMOS 272,0.41,7570954.595750105,73.9930264572454,316.86791330057093
87,0 COSMOS 292,0.38,7091983.665337223,74.04842647705445,33.06321182221557
88,0 COSMOS 304,0.2,7116794.541370157,74.03842647347881,272.44019741481736
89,0 TEMPSAT 2,0.02,7287351.678320123,70.01512503489093,304.2888088027356
90,0 OPS 7613 (P/L 4),0.02,7287442.789988493,70.01602503521272,310.40221098866834
91,0 OPS 7613 (P/L 5),0.02,7287467.0722927,70.01572503510546,309.01141049136817
92,0 SKYNET 1,0.17,42164400.88727219,4.521701616797894,290.76080396560747
93,0 TIMATION 2,0.02,7286255.00740378,70.01532503496243,300.0262072785825
94,0 OPS 7613 (P/L 3),0.45,7290123.102433942,70.0172250356418,336.66952038091364
95,0 OPS 7613 (P/L 6),0.02,7288632.8817188125,70.01382503442609,313.36721204884606
96,0 ITOS 1 (TIROS M),0.54,7834016.823662336,101.65693634886476,113.51314058821707
97,0 OSCAR 5,0.54,7833599.408480353,101.55833631360895,103.88663714612561
98,0 OPS 0054 (DMSP 5A F1),0.26,7160558.533067833,98.8264353367794,139.6446499319051
99,0 NATO 2A,0.17,42162838.67608807,5.232801871061773,295.2604055745032
100,0 COSMOS 336,0.32,7852589.937891796,74.0279264697244,56.10662006170969
101,0 COSMOS 337,0.31,7888055.648610751,74.02732646950986,77.08282756204719
102,0 COSMOS 338,0.35,7870632.943284873,74.02592646900929,252.0381901197933
103,0 COSMOS 339,0.3,7834970.781602178,74.02602646904502,221.76557929539632
104,0 COSMOS 340,0.37,7816423.701217492,74.03072647072557,16.691005968103507
105,0 COSMOS 341,0.57,7783370.476363502,74.03032647058257,1.5115005404582391
106,0 COSMOS 342,0.44,7767059.430313159,74.02892647008196,173.81146214872845
107,0 OPS 0203 (DMSP 5A F2),0.42,7154108.13734986,98.93783537661207,274.1591980294703
108,0 COSMOS 367,0.13,7347555.071462742,65.28022334186034,332.50461889169463
109,0 COSMOS 371,0.38,7090872.623111493,73.99812645906898,273.58919782565863
110,0 COSMOS 372,0.08,7149797.526497084,74.05542647955744,194.9001696892919
111,0 COSMOS 381,0.05,7360526.807325417,74.03442647204858,8.373502994063553
112,0 NOAA 1,0.48,7825953.595112862,101.62503633745848,112.93044037986441
113,0 DELTA 1 R/B(CEP 1),0.56,7829115.704189703,101.53503630527771,103.29033693291008
114,0 NATO 2B,0.17,42164532.08259599,6.082802174991317,289.46490350224013
115,0 OPS 5268 (DMSP 5A F3),0.15,7135216.661967223,98.68183528507562,234.53368386081127
116,0 COSMOS 400,0.25,7370021.288406359,65.82602353701886,310.92471117549564
117,0 ISIS 2,0.33,7768869.246973875,88.15893152246366,267.42349562102527
118,0 COSMOS 402,0.5,7366745.537547163,64.98102323487714,171.42596129575915
119,0 COSMOS 407,0.42,7158839.589566204,74.04302647512363,78.06402791288913
120,0 COSMOS 409,0.41,7571363.931742988,74.00032645985563,70.69802527907146
121,0 COSMOS 411,0.04,7780718.183332972,74.01272646428941,70.74652529641334
122,0 COSMOS 413,0.35,7868600.000371186,74.0171264658627,312.41141170708624
123,0 COSMOS 414,0.58,7838000.053631424,74.01862646639906,345.00712336214065
124,0 COSMOS 415,0.32,7853279.40820742,74.01572646536214,150.44735379456353
125,0 COSMOS 416,0.49,7809231.618697661,74.01612646550514,30.58451093592127
126,0 COSMOS 417,0.14,7795271.303168313,74.01222646411065,235.78238430730167
127,0 COSMOS 418,0.21,7823699.13111618,74.01452646493304,189.0895676116296
128,0 COSMOS 422,0.25,7370165.765742319,74.02002646689965,159.16705691241575
129,0 OV1-20/OV1-21 AKM,0.43,7145208.036318185,87.62403133120256,141.4030505606459
130,0 RIGIDSPHERE 2 (LCS 4),0.42,7156663.361659988,87.62963133320494,158.35655662261004
131,0 EOLE 1 (CAS-A),0.11,7086478.141933049,50.141917928946704,72.87382605705959
132,0 COSMOS 444,0.52,7792458.718004279,74.0254264688305,224.01948010131017
133,0 COSMOS 445,0.49,7808579.682136414,74.02812646979591,42.459615182031506
134,0 COSMOS 446,0.21,7824201.65578045,74.02612646908078,212.80997609319462
135,0 COSMOS 447,0.36,7840192.430082222,74.02942647026073,25.72880919969694
136,0 COSMOS 449,0.31,7890259.728236193,74.0272264694741,193.13236905719
137,0 OPS 4311 (DMSP 5B F1),0.24,7179241.751735386,99.16453545767185,40.40751444827408
138,0 PROSPERO (BLACK ARROW),0.45,7290623.28913632,82.04212933531517,191.3428684173289
139,0 OPS 9431 (DSCS 2-1),0.17,42163334.82294014,6.5385023379333065,290.9013040158453
